,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos\'a0Summary,Name-additional\
489,Matt\'a0McLain,23,CIN,NL,89,403,365,65,106,23,4,16,50,14,5,31,115,0.29,0.357,0.507,0.864,128,185,5,7,0,0,0,64/DH,mclaima01\
490,Ryan\'a0McMahon*,28,COL,NL,134,564,498,77,123,28,3,22,69,5,5,62,172,0.247,0.33,0.448,0.778,99,223,18,1,0,3,2,*54/DH,mcmahry01\
491,Jeff\'a0McNeil*,31,NYM,NL,139,576,518,64,138,22,3,7,49,8,0,36,61,0.266,0.332,0.361,0.693,92,187,5,16,3,3,0,*497/H386,mcneije01\
492,Curtis\'a0Mead,22,TBR,AL,11,43,36,7,9,1,0,0,2,0,0,5,13,0.25,0.372,0.278,0.65,86,10,0,2,0,0,0,5/DH,meadcu01\
493,Austin\'a0Meadows*,28,DET,AL,6,21,21,0,5,1,0,0,2,0,0,0,3,0.238,0.238,0.286,0.524,43,6,0,0,0,0,0,/7H9,meadoau01\
494,Parker\'a0Meadows*,23,DET,AL,17,64,55,5,13,2,1,1,8,2,0,8,19,0.236,0.328,0.364,0.692,89,20,0,0,0,1,1,8,meadopa01\
495,Wade\'a0Meckler*,23,SFG,NL,20,64,56,6,13,1,0,0,4,0,0,6,25,0.232,0.328,0.25,0.578,64,14,0,2,0,0,0,8/H7,mecklwa01\
496,Francisco\'a0Mej\'eda#,27,TBR,AL,50,160,150,22,34,11,0,5,19,0,1,6,38,0.227,0.258,0.4,0.658,79,60,2,1,1,2,0,2/H,mejiafr01\
497,MJ\'a0Melendez*,24,KCR,AL,132,537,482,57,114,28,4,14,48,6,3,49,154,0.237,0.309,0.398,0.707,92,192,3,3,0,3,2,*97D2/H3,melenmj01\
498,Danny\'a0Mendick,29,NYM,NL,32,66,63,4,12,3,0,1,4,0,0,3,15,0.19,0.227,0.286,0.513,41,18,1,0,0,0,0,4/5HD71,mendida01\
499,Joey\'a0Meneses,31,WSN,NL,133,573,532,63,147,32,1,11,77,0,0,34,109,0.276,0.325,0.402,0.727,101,214,14,5,0,2,0,*D3/H9,menesjo01\
500,\'d3scar\'a0Mercado,28,STL,NL,20,32,31,3,9,3,0,0,5,2,1,1,4,0.29,0.313,0.387,0.7,91,12,0,0,0,0,0,/978DH,mercaos01\
501,Whit\'a0Merrifield,34,TOR,AL,132,545,505,63,142,25,0,11,62,25,9,31,91,0.281,0.323,0.396,0.719,98,200,15,3,0,6,1,47/H9,merriwh01\
502,Julian\'a0Merryweather,31,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,merryju01\
503,Matt\'a0Mervis*,25,CHC,NL,27,99,90,8,15,2,0,3,11,0,0,8,32,0.167,0.242,0.289,0.531,42,26,1,1,0,0,0,3/H,mervima01\
504,Jake\'a0Meyers,27,HOU,AL,105,328,296,40,67,16,1,9,32,5,2,26,85,0.226,0.299,0.378,0.677,85,112,2,5,0,1,0,*8H/7,meyerja02\
505,Drew\'a0Millas#,25,WSN,NL,4,7,6,0,2,0,0,0,1,0,0,1,0,0.333,0.429,0.333,0.762,117,2,0,0,0,0,0,/2H,milladr01\
506,Brad\'a0Miller*,33,TEX,AL,27,67,56,8,12,4,0,1,6,0,0,10,11,0.214,0.328,0.339,0.668,83,19,1,0,0,1,0,D/H351,millebr02\
507,Owen\'a0Miller,26,MIL,NL,89,313,290,29,76,17,0,5,27,13,2,17,60,0.262,0.304,0.372,0.676,83,108,6,2,0,4,1,435H/7D9,milleow01\
508,Shelby\'a0Miller,32,LAD,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,millesh01\
509,Jose\'a0Miranda,25,MIN,AL,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,55,43,8,1,0,0,0,5/D3H,miranjo01\
510,Calvin\'a0Mitchell*,24,PIT,NL,2,5,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-38,0,0,0,0,0,0,/H9,mitchca01\
511,Garrett\'a0Mitchell*,24,MIL,NL,16,62,58,9,15,1,1,3,6,1,0,4,24,0.259,0.306,0.466,0.772,106,27,0,0,0,0,0,8/H,mitchga01\
512,Andruw\'a0Monasterio,26,MIL,NL,72,254,229,33,62,12,1,3,21,7,1,24,50,0.271,0.343,0.371,0.714,95,85,5,1,0,0,0,54/H6D,monasan01\
513,Yo\'e1n\'a0Moncada#,28,CHW,AL,76,292,273,28,72,16,1,8,34,1,0,16,81,0.264,0.308,0.418,0.726,96,114,5,2,0,1,0,5/H,moncayo01\
514,Mickey\'a0Moniak*,25,LAA,AL,83,316,304,33,85,21,2,13,43,6,3,9,110,0.28,0.307,0.49,0.797,110,149,4,3,0,0,1,897/H,moniami01\
515,Elehuris\'a0Montero,24,COL,NL,65,224,208,27,49,11,2,6,29,0,0,11,85,0.236,0.281,0.394,0.675,72,82,3,3,0,2,0,35D/H,monteel01\
516,Rafael\'a0Montero,32,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,montera01\
517,Coco\'a0Montes,26,COL,NL,18,41,38,3,7,2,0,1,3,0,0,2,12,0.184,0.244,0.316,0.56,44,12,0,1,0,0,0,4/5H6,monteco01\
518,Dylan\'a0Moore,30,SEA,AL,48,125,109,14,24,6,1,7,18,7,2,13,42,0.22,0.32,0.486,0.806,122,53,1,3,0,0,0,7H4/63D958,mooredy01\
519,Jovani\'a0Moran*,26,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,moranjo01\
520,Christopher\'a0Morel,24,CHC,NL,91,356,322,51,79,14,1,20,64,4,2,29,116,0.245,0.31,0.481,0.791,109,155,6,2,1,2,0,D48/795H6,morelch01\
521,Gabriel\'a0Moreno,23,ARI,NL,95,318,289,28,81,15,1,7,42,5,1,23,66,0.28,0.33,0.412,0.742,102,119,14,1,0,5,0,2/HD,morenga01\
522,Taylor\'a0Motter,33,STL,NL,29,82,76,3,13,3,0,0,2,0,0,5,31,0.171,0.232,0.211,0.442,23,16,0,1,0,0,0,45/H63D9,motteta01\
523,Ryan\'a0Mountcastle,26,BAL,AL,107,447,405,62,111,20,1,18,67,3,1,32,103,0.274,0.327,0.462,0.788,116,187,12,3,0,7,1,3D/H,mountry01\
524,Mike\'a0Moustakas*,34,TOT,MLB,104,357,325,42,83,15,0,12,46,0,0,23,87,0.255,0.305,0.412,0.718,88,134,7,3,0,6,1,53H/D,moustmi01\
525,Mike\'a0Moustakas*,34,COL,NL,47,136,115,21,31,7,0,4,17,0,0,17,34,0.27,0.36,0.435,0.795,105,50,1,1,0,3,1,3H5/D,moustmi01\
526,Mike\'a0Moustakas*,34,LAA,AL,57,221,210,21,52,8,0,8,29,0,0,6,53,0.248,0.271,0.4,0.671,78,84,6,2,0,3,0,53/HD,moustmi01\
527,Cedric\'a0Mullins*,28,BAL,AL,94,382,336,43,83,21,3,13,63,16,3,39,79,0.247,0.325,0.443,0.768,111,149,5,1,3,3,1,8/HD,mullice01\
528,Max\'a0Muncy*,32,LAD,NL,117,495,411,80,85,15,0,33,93,1,2,74,132,0.207,0.333,0.484,0.818,118,199,6,6,0,4,4,*5/DH,muncyma01\
529,Andr\'e9s\'a0Mu\'f1oz,24,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,munozan01\
530,Penn\'a0Murfee,29,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,murfepe01\
531,Sean\'a0Murphy,28,ATL,NL,97,395,333,61,89,21,0,20,67,0,0,44,88,0.267,0.38,0.511,0.89,135,170,17,17,0,1,0,2/DH,murphse01\
532,Tom\'a0Murphy,32,SEA,AL,47,159,145,19,42,12,0,8,17,0,0,10,44,0.29,0.335,0.538,0.873,139,78,4,1,0,2,0,2/DH,murphto04\
533,Dane\'a0Myers,27,MIA,NL,18,62,60,7,17,2,0,1,9,0,1,1,17,0.283,0.29,0.367,0.657,79,22,1,0,0,1,0,8/D7H,myersda01\
534,Wil\'a0Myers,32,CIN,NL,37,141,127,11,24,3,0,3,12,2,1,12,48,0.189,0.257,0.283,0.541,45,36,3,0,1,1,0,93/DH,myerswi01\
