,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos\'a0Summary,Name-additional\
579,Carlos\'a0P\'e9rez,26,CHW,AL,18,30,29,3,7,3,0,0,2,0,0,1,9,0.241,0.267,0.345,0.611,66,10,1,0,0,0,0,2/HD,perezca03\
580,Cionel\'a0P\'e9rez,27,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,perezci01\
581,Michael\'a0Perez*,30,NYM,NL,2,7,7,1,4,1,0,0,0,0,0,0,1,0.571,0.571,0.714,1.286,254,5,0,0,0,0,0,/2,perezmi03\
582,Roberto\'a0P\'e9rez,34,SFG,NL,5,17,15,0,2,0,0,0,1,0,0,2,6,0.133,0.235,0.133,0.369,6,2,0,0,0,0,0,/2,perezro02\
583,Salvador\'a0Perez,33,KCR,AL,126,522,486,53,121,19,0,21,64,0,0,18,121,0.249,0.289,0.418,0.707,90,203,11,12,0,6,6,2D3,perezsa02\
584,Blake\'a0Perkins#,26,MIL,NL,56,137,118,21,25,4,0,2,16,5,2,17,41,0.212,0.311,0.297,0.608,67,35,1,0,2,0,0,9H78/D,perkibl01\
585,Jace\'a0Peterson*,33,TOT,MLB,119,390,339,32,73,8,4,6,36,13,2,42,96,0.215,0.307,0.316,0.622,77,107,7,4,2,3,2,*5H4/D137,peterja01\
586,Jace\'a0Peterson*,33,OAK,AL,92,324,281,30,62,7,2,6,28,11,1,36,77,0.221,0.313,0.324,0.637,83,91,6,3,1,3,1,54H/1D7,peterja01\
587,Jace\'a0Peterson*,33,ARI,NL,27,66,58,2,11,1,2,0,8,2,1,6,19,0.19,0.277,0.276,0.553,52,16,1,1,1,0,1,5/HD3,peterja01\
588,Tommy\'a0Pham,35,TOT,NL,110,397,355,46,92,24,2,15,59,17,2,36,91,0.259,0.327,0.465,0.792,116,165,9,2,0,4,1,7DH/89,phamth01\
589,Tommy\'a0Pham,35,NYM,NL,79,264,231,29,62,15,1,10,36,11,1,29,56,0.268,0.348,0.472,0.82,125,109,2,1,0,3,1,7DH/8,phamth01\
590,Tommy\'a0Pham,35,ARI,NL,31,133,124,17,30,9,1,5,23,6,1,7,35,0.242,0.286,0.452,0.737,98,56,7,1,0,1,0,7D/9,phamth01\
591,Brett\'a0Phillips*,29,LAA,AL,22,27,22,4,3,0,0,0,3,3,0,5,12,0.136,0.296,0.136,0.433,24,3,0,0,0,0,0,8/H7D19,phillbr02\
592,Kevin\'a0Pillar,34,ATL,NL,65,160,152,23,35,8,0,7,23,4,0,6,39,0.23,0.256,0.421,0.677,77,64,1,0,0,2,0,7H/98,pillake01\
593,Manny\'a0Pi\'f1a,36,OAK,AL,4,12,12,1,3,0,0,1,1,0,0,0,3,0.25,0.25,0.5,0.75,107,6,1,0,0,0,0,/2D,pinama01\
594,Ren\'e9\'a0Pinto,26,TBR,AL,23,59,57,5,17,2,0,4,11,0,0,2,16,0.298,0.322,0.544,0.866,134,31,2,0,0,0,0,1-Feb,pintore02\
595,Nick\'a0Pivetta,30,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,pivetni01\
596,Jorge\'a0Polanco#,29,MIN,AL,67,285,249,31,65,15,0,12,41,4,0,31,68,0.261,0.344,0.466,0.81,120,116,1,2,0,3,0,45D/H,polanjo01\
597,AJ\'a0Pollock,35,TOT,MLB,54,144,133,15,22,4,0,5,15,0,1,9,32,0.165,0.215,0.308,0.524,44,41,1,0,0,2,0,D7H/89,polloaj01\
598,AJ\'a0Pollock,35,SEA,AL,49,138,127,15,22,4,0,5,15,0,1,9,30,0.173,0.225,0.323,0.547,51,41,1,0,0,2,0,D7H,polloaj01\
599,AJ\'a0Pollock,35,SFG,NL,5,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,/789,polloaj01\
600,Nick\'a0Pratto*,24,KCR,AL,78,299,261,31,62,15,0,7,31,1,1,29,112,0.238,0.324,0.375,0.7,91,98,3,6,0,3,0,37/H9,prattni01\
601,Ryan\'a0Pressly,34,HOU,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,pressry01\
602,Jurickson\'a0Profar#,30,COL,NL,111,472,415,51,98,25,2,8,39,1,0,45,86,0.236,0.316,0.364,0.68,76,151,9,6,0,5,0,7D/H,profaju01\
603,Ceddanne\'a0Rafaela,22,BOS,AL,9,16,16,3,7,2,0,0,1,0,1,0,7,0.438,0.438,0.563,1,167,9,0,0,0,0,0,/8H46,rafaece01\
604,Cole\'a0Ragans*,25,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,raganco01\
605,Cole\'a0Ragans*,25,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,raganco01\
606,Cal\'a0Raleigh#,26,SEA,AL,125,486,434,68,102,21,1,27,66,0,0,50,136,0.235,0.315,0.475,0.789,117,206,5,1,0,1,1,*2HD,raleica01\
607,Brooks\'a0Raley*,35,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,raleybr01\
608,Luke\'a0Raley*,28,TBR,AL,110,383,338,54,85,21,3,18,46,14,3,27,122,0.251,0.332,0.491,0.824,125,166,2,15,1,2,0,937DH/81,raleylu01\
609,Harold\'a0Ram\'edrez,28,TBR,AL,105,377,347,48,104,15,2,10,56,5,3,20,71,0.3,0.342,0.441,0.783,116,153,5,5,0,5,0,DH/379,ramirha02\
610,Jos\'e9\'a0Ram\'edrez#,30,CLE,AL,136,601,531,78,145,33,5,21,72,23,4,63,63,0.273,0.348,0.473,0.82,126,251,8,1,0,6,18,*5D,ramirjo01\
611,Heliot\'a0Ramos,23,SFG,NL,20,52,48,5,10,4,0,1,2,0,0,4,18,0.208,0.269,0.354,0.623,70,17,1,0,0,0,0,7/9H8D,ramoshe02\
612,Henry\'a0Ramos#,31,CIN,NL,23,86,74,9,18,3,1,0,5,2,1,11,21,0.243,0.349,0.311,0.66,79,23,2,1,0,0,0,9/D7H,ramoshe01\
613,J.T.\'a0Realmuto,32,PHI,NL,119,475,428,62,109,27,5,18,54,13,4,33,122,0.255,0.317,0.467,0.784,112,200,10,8,0,4,3,*2/H,realmjt01\
614,Rob\'a0Refsnyder,32,BOS,AL,81,224,185,28,46,7,1,1,26,7,2,31,45,0.249,0.369,0.314,0.683,87,58,6,5,1,1,0,7H8/D9,refsnro01\
615,Zach\'a0Remillard,29,CHW,AL,43,138,126,15,32,6,0,1,16,4,2,8,40,0.254,0.304,0.325,0.629,73,41,3,1,3,0,1,4/59H76D,remilza01\
616,Anthony\'a0Rendon,33,LAA,AL,43,183,148,23,35,6,0,2,22,2,0,25,27,0.236,0.361,0.318,0.678,86,47,6,6,0,4,0,5,rendoan01\
617,Hunter\'a0Renfroe,31,TOT,MLB,132,524,476,58,115,31,0,20,60,0,0,42,115,0.242,0.305,0.433,0.738,96,206,15,3,0,3,0,*9H/3D,renfrhu01\
618,Hunter\'a0Renfroe,31,LAA,AL,126,504,459,56,111,31,0,19,56,0,0,39,113,0.242,0.304,0.434,0.737,96,199,15,3,0,3,0,*9/H3,renfrhu01\
619,Hunter\'a0Renfroe,31,CIN,NL,6,20,17,2,4,0,0,1,4,0,0,3,2,0.235,0.35,0.412,0.762,104,7,0,0,0,0,0,/9DH,renfrhu01\
620,Luis\'a0Rengifo#,26,LAA,AL,126,445,394,55,104,15,4,16,51,6,4,41,82,0.264,0.339,0.444,0.783,109,175,3,6,0,4,0,465H9/78,rengilu01\
621,Franmil\'a0Reyes,27,KCR,AL,19,65,59,5,11,0,0,2,7,0,0,4,24,0.186,0.231,0.288,0.519,41,17,3,0,0,2,0,D/7H9,reyesfr01\
622,Pablo\'a0Reyes,29,BOS,AL,51,155,142,25,43,9,0,2,18,5,2,9,18,0.303,0.34,0.408,0.748,100,58,2,0,2,2,0,64/H15D,reyespa01\
623,Bryan\'a0Reynolds#,28,PIT,NL,126,551,498,72,132,29,5,19,67,11,0,43,112,0.265,0.325,0.458,0.783,109,228,13,4,0,6,1,*78D/H,reynobr01\
624,Matt\'a0Reynolds,32,CIN,NL,2,5,5,1,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,8,1,0,0,0,0,0,/53,reynoma03\
625,Austin\'a0Riley,26,ATL,NL,138,616,554,100,152,26,1,34,85,3,1,48,144,0.274,0.334,0.509,0.843,121,282,18,6,0,8,3,*5,rileyau01\
626,Edwin\'a0Rios*,29,CHC,NL,18,34,28,3,2,1,0,1,2,0,0,5,16,0.071,0.235,0.214,0.45,23,6,0,1,0,0,0,D/H5,riosed01\
627,Alfonso\'a0Rivas*,26,TOT,NL,37,98,84,6,17,7,1,2,8,1,0,9,27,0.202,0.299,0.381,0.68,84,32,1,3,1,1,0,3/H7,rivasal01\
628,Alfonso\'a0Rivas*,26,SDP,NL,8,17,15,2,3,2,0,0,1,0,0,2,7,0.2,0.294,0.333,0.627,76,5,0,0,0,0,0,/3H,rivasal01\
629,Alfonso\'a0Rivas*,26,PIT,NL,29,81,69,4,14,5,1,2,7,1,0,7,20,0.203,0.3,0.391,0.691,86,27,1,3,1,1,0,3/H7,rivasal01\
630,Emmanuel\'a0Rivera,27,ARI,NL,73,246,228,32,60,12,0,4,25,1,0,16,51,0.263,0.309,0.368,0.677,85,84,7,0,0,2,0,5H/3D,riverem01\
631,Anthony\'a0Rizzo*,33,NYY,AL,99,421,373,45,91,14,0,12,41,0,3,35,97,0.244,0.328,0.378,0.706,93,141,10,12,0,1,1,3/D,rizzoan01\
632,Luis\'a0Robert\'a0Jr.,25,CHW,AL,131,542,495,83,134,35,1,35,71,17,4,28,151,0.271,0.324,0.558,0.882,134,276,9,12,0,2,5,*8/H,roberlu01\
633,Victor\'a0Robles,26,WSN,NL,36,126,107,15,32,5,1,0,8,8,1,11,18,0.299,0.385,0.364,0.75,111,39,3,4,4,0,0,8,roblevi01\
634,Brayan\'a0Rocchio#,22,CLE,AL,19,70,66,7,16,4,0,0,5,0,0,3,22,0.242,0.271,0.303,0.574,61,20,4,0,0,1,0,6/5H,rocchbr01\
635,Brendan\'a0Rodgers,26,COL,NL,27,114,106,12,22,5,1,0,11,0,0,6,30,0.208,0.263,0.274,0.537,40,29,2,2,0,0,0,4/D,rodgebr02\
636,Endy\'a0Rodr\'edguez#,23,PIT,NL,42,142,131,18,29,6,2,2,8,0,0,11,36,0.221,0.282,0.344,0.625,69,45,1,0,0,0,0,2H/3D,rodrien01\
637,Jos\'e9\'a0Rodriguez,22,CHW,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/4H,rodrijo09\
638,Julio\'a0Rodr\'edguez,22,SEA,AL,134,620,571,87,160,32,2,28,94,36,9,41,151,0.28,0.337,0.49,0.827,128,280,13,8,0,0,3,*8/D,rodriju01\
639,Jake\'a0Rogers,28,DET,AL,94,316,285,38,58,11,0,16,39,1,1,25,105,0.204,0.273,0.411,0.684,83,117,6,3,1,2,0,2/HD7,rogerja03\
640,Taylor\'a0Rogers*,32,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,rogerta01\
641,Tyler\'a0Rogers,32,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,rogerty01\
642,Johan\'a0Rojas,22,PHI,NL,42,111,100,14,28,6,1,1,18,9,1,4,26,0.28,0.327,0.39,0.717,96,39,1,3,4,0,0,8/HD,rojasjo03\
643,Josh\'a0Rojas*,29,TOT,MLB,87,306,271,41,65,16,0,3,36,10,0,26,75,0.24,0.305,0.332,0.637,76,90,3,1,2,4,0,54H/D71,rojasjo01\
644,Josh\'a0Rojas*,29,ARI,NL,59,216,189,23,43,13,0,0,26,6,0,18,51,0.228,0.292,0.296,0.589,62,56,2,1,2,4,0,5/H4D71,rojasjo01\
645,Josh\'a0Rojas*,29,SEA,AL,28,90,82,18,22,3,0,3,10,4,0,8,24,0.268,0.333,0.415,0.748,108,34,1,0,0,0,0,4/H5,rojasjo01\
646,Miguel\'a0Rojas,34,LAD,NL,108,374,340,42,77,16,1,3,25,8,2,25,44,0.226,0.282,0.306,0.587,60,104,12,3,1,5,0,*6H/D14,rojasmi02\
647,Jordan\'a0Romano,30,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,romanjo03\
648,JoJo\'a0Romero*,26,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,romerjo01\
649,Brent\'a0Rooker,28,OAK,AL,119,461,404,52,98,18,1,23,57,2,0,44,147,0.243,0.328,0.463,0.79,122,187,11,9,0,4,1,D79H,rookebr01\
650,Ben\'a0Rortvedt*,25,NYY,AL,28,64,55,4,6,1,0,2,3,0,0,9,17,0.109,0.234,0.236,0.471,30,13,1,0,0,0,0,2/HD,rortvbe01\
651,Amed\'a0Rosario,27,TOT,MLB,128,513,481,63,126,24,7,6,56,13,2,27,93,0.262,0.302,0.378,0.681,88,182,14,2,0,3,0,*64H/D,rosaram01\
652,Amed\'a0Rosario,27,CLE,AL,94,412,385,51,102,19,6,3,40,9,0,22,77,0.265,0.306,0.369,0.675,88,142,11,2,0,3,0,6/HD,rosaram01\
653,Amed\'a0Rosario,27,LAD,NL,34,101,96,12,24,5,1,3,16,4,2,5,16,0.25,0.287,0.417,0.704,88,40,3,0,0,0,0,4H/6D,rosaram01\
654,Eddie\'a0Rosario*,31,ATL,NL,123,450,414,61,110,22,3,21,70,3,4,34,106,0.266,0.321,0.486,0.806,111,201,13,0,1,1,1,*7D/H,rosared01\
655,Michael\'a0Rucker,29,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,ruckemi01\
656,Darin\'a0Ruf,36,TOT,NL,20,57,49,3,11,3,0,0,3,0,0,8,16,0.224,0.333,0.286,0.619,73,14,0,0,0,0,0,D/H3,rufda01\
657,Darin\'a0Ruf,36,SFG,NL,9,27,23,1,6,2,0,0,3,0,0,4,9,0.261,0.37,0.348,0.718,101,8,0,0,0,0,0,/DH,rufda01\
658,Darin\'a0Ruf,36,MIL,NL,11,30,26,2,5,1,0,0,0,0,0,4,7,0.192,0.3,0.231,0.531,48,6,0,0,0,0,0,/D3H,rufda01\
659,Esteury\'a0Ruiz,24,OAK,AL,114,449,405,43,102,23,1,4,42,58,9,16,91,0.252,0.306,0.343,0.649,85,139,4,16,4,1,1,*8H/79D,ruizes01\
660,Jos\'e9\'a0Ruiz,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,ruizjo01\
661,Jos\'e9\'a0Ruiz,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,ruizjo01\
662,Keibert\'a0Ruiz#,24,WSN,NL,117,481,443,45,113,19,0,17,58,1,1,30,47,0.255,0.31,0.413,0.723,99,183,13,6,0,2,1,*2D/H,ruizke01\
663,Blake\'a0Rutherford*,26,WSN,NL,15,34,33,4,6,0,0,0,2,0,0,1,10,0.182,0.206,0.182,0.388,10,6,1,0,0,0,0,7/H,ruthebl01\
664,Adley\'a0Rutschman#,25,BAL,AL,134,599,515,74,141,23,1,18,70,1,2,78,87,0.274,0.369,0.427,0.796,121,220,12,2,0,4,6,*2D/H,rutscad01\
665,Blake\'a0Sabol*,25,SFG,NL,97,310,282,34,69,9,0,12,40,2,2,19,108,0.245,0.304,0.404,0.708,94,114,4,6,1,2,0,27H/D,sabolbl01\
666,C\'e9sar\'a0Salazar*,27,HOU,AL,13,19,18,1,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,-24,2,1,0,0,0,0,/2H,salazce01\
667,Gary\'a0S\'e1nchez,30,TOT,NL,75,267,240,33,52,9,0,19,47,0,0,21,67,0.217,0.288,0.492,0.78,114,118,3,4,0,2,0,2/DH,sanchga02\
668,Gary\'a0S\'e1nchez,30,NYM,NL,3,7,6,0,1,0,0,0,1,0,0,0,3,0.167,0.143,0.167,0.31,-14,1,0,0,0,1,0,/2,sanchga02\
669,Gary\'a0S\'e1nchez,30,SDP,NL,72,260,234,33,51,9,0,19,46,0,0,21,64,0.218,0.292,0.5,0.792,117,117,3,4,0,1,0,2/DH,sanchga02\
670,Jes\'fas\'a0S\'e1nchez*,25,MIA,NL,106,337,304,39,83,22,2,13,49,3,1,31,81,0.273,0.342,0.487,0.829,124,148,10,1,1,0,1,*9H/87D,sanchje02\
671,Cole\'a0Sands,25,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sandsco01\
672,Carlos\'a0Santana#,37,TOT,NL,127,537,477,65,112,29,0,19,73,6,0,57,93,0.235,0.315,0.415,0.73,96,198,6,0,0,3,0,*3D/H,santaca01\
673,Carlos\'a0Santana#,37,PIT,NL,94,393,345,45,81,25,0,12,53,6,0,45,69,0.235,0.321,0.412,0.732,97,142,3,0,0,3,0,3/D,santaca01\
674,Carlos\'a0Santana#,37,MIL,NL,33,144,132,20,31,4,0,7,20,0,0,12,24,0.235,0.299,0.424,0.723,94,56,3,0,0,0,0,3/DH,santaca01\
675,Anthony\'a0Santander#,28,BAL,AL,132,566,504,74,132,34,1,27,82,4,1,53,122,0.262,0.336,0.494,0.83,127,249,7,5,0,4,1,9D3/7H,santaan02\
676,Tony\'a0Santillan,26,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,santito01\
677,Tayler\'a0Saucedo*,30,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sauceta01\
678,Josh\'a0Sborz,29,TEX,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1,sborzjo01\
679,Nolan\'a0Schanuel*,21,LAA,AL,17,79,63,13,17,1,0,0,2,0,0,14,10,0.27,0.418,0.286,0.703,96,18,1,2,0,0,1,3/DH,schanno01\
680,Casey\'a0Schmitt,24,SFG,NL,85,269,245,26,50,15,0,3,28,2,1,13,64,0.204,0.256,0.302,0.558,54,74,7,5,3,3,0,654H,schmica01\
681,Davis\'a0Schneider,24,TOR,AL,21,86,67,18,27,9,1,7,19,1,0,17,22,0.403,0.535,0.881,1.415,282,59,2,2,0,0,0,4/5D7H,schneda03\
682,Jonathan\'a0Schoop,31,DET,AL,55,151,136,15,29,8,0,0,7,0,0,13,37,0.213,0.278,0.272,0.55,52,37,6,0,0,2,0,45H/D16,schoojo01\
683,John\'a0Schreiber,29,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,schrejo01\
684,Kyle\'a0Schwarber*,30,PHI,NL,139,628,508,92,99,16,1,41,90,0,2,112,180,0.195,0.344,0.472,0.816,122,240,4,5,0,3,5,*7D,schwaky01\
685,Tayler\'a0Scott,31,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,scottta02\
686,Tayler\'a0Scott,31,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,scottta02\
687,Tayler\'a0Scott,31,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,scottta02\
688,Tayler\'a0Scott,31,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,scottta02\
689,Corey\'a0Seager*,29,TEX,AL,97,441,390,74,132,35,0,29,86,2,1,43,75,0.338,0.401,0.651,1.053,180,254,7,2,0,6,6,6/D,seageco01\
690,Jean\'a0Segura,33,MIA,NL,85,326,301,25,66,5,2,3,21,6,2,22,47,0.219,0.277,0.279,0.556,53,84,12,2,1,0,1,5/H,segurje01\
691,Marcus\'a0Semien,32,TEX,AL,140,655,582,106,162,34,4,22,85,14,3,63,91,0.278,0.35,0.464,0.814,119,270,5,4,0,5,1,*4,semiema01\
692,Nick\'a0Senzel,28,CIN,NL,89,292,264,41,59,9,0,11,39,6,2,25,62,0.223,0.291,0.383,0.674,79,101,8,1,0,2,0,578H9/4D,senzeni01\
693,Brian\'a0Serven,28,COL,NL,11,23,23,0,3,1,0,0,1,0,0,0,10,0.13,0.13,0.174,0.304,-22,4,0,0,0,0,0,2/HD,servebr01\
694,Paul\'a0Sewald,33,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sewalpa01\
695,Paul\'a0Sewald,33,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sewalpa01\
696,Paul\'a0Sewald,33,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sewalpa01\
697,Gavin\'a0Sheets*,27,CHW,AL,97,276,250,20,52,8,0,9,32,0,0,23,52,0.208,0.275,0.348,0.623,69,87,5,1,0,2,2,9H3D/7,sheetga01\
698,Braden\'a0Shewmake*,25,ATL,NL,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/6,shewmbr01\
699,Zack\'a0Short,28,DET,AL,93,222,198,14,43,9,0,6,29,3,0,21,58,0.217,0.291,0.354,0.644,75,70,3,0,2,1,0,456H/189D,shortza01\
700,Michael\'a0Siani*,23,CIN,NL,3,1,0,1,0,0,0,0,0,0,1,1,0,,1,,,,0,0,0,0,0,0,/87H,sianimi01\
701,Lucas\'a0Sims,29,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,simslu01\
702,Jon\'a0Singleton*,31,TOT,MLB,30,95,82,11,14,3,0,2,11,0,0,13,22,0.171,0.284,0.28,0.565,56,23,2,0,0,0,0,3/HD,singljo02\
703,Jon\'a0Singleton*,31,MIL,NL,11,32,29,3,3,1,0,0,2,0,0,3,11,0.103,0.188,0.138,0.325,-9,4,0,0,0,0,0,/3DH,singljo02\
704,Jon\'a0Singleton*,31,HOU,AL,19,63,53,8,11,2,0,2,9,0,0,10,11,0.208,0.333,0.358,0.692,91,19,2,0,0,0,0,3/HD,singljo02\
705,Jose\'a0Siri,27,TBR,AL,98,353,328,56,73,13,2,25,55,12,3,20,127,0.223,0.267,0.503,0.77,107,165,4,1,1,3,0,*8/HD,sirijo01\
706,Austin\'a0Slater,30,SFG,NL,75,180,161,21,40,6,0,5,20,2,2,18,50,0.248,0.328,0.379,0.707,95,61,2,1,0,0,0,H78/9D,slateau01\
707,Dominic\'a0Smith*,28,WSN,NL,135,517,466,49,121,18,1,7,38,1,0,40,81,0.26,0.331,0.348,0.678,90,162,11,10,0,1,0,*3/HD,smithdo02\
708,Josh\'a0H.\'a0Smith*,25,TEX,AL,78,194,165,26,31,6,0,5,9,1,0,19,50,0.188,0.302,0.315,0.617,69,52,2,8,2,0,0,675H/D4,smithjo11\
709,Kevin\'a0Smith,26,OAK,AL,36,110,102,13,21,2,0,5,11,1,0,3,37,0.206,0.229,0.373,0.601,68,38,2,0,5,0,0,6/5H,smithke05\
710,Pavin\'a0Smith*,27,ARI,NL,66,225,190,26,35,5,0,7,30,1,1,33,45,0.184,0.308,0.321,0.629,73,61,3,1,0,0,0,D9H3,smithpa04\
711,Will\'a0Smith,33,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,smithwi04\
712,Will\'a0Smith,28,LAD,NL,112,488,412,69,112,20,1,17,68,3,0,59,79,0.272,0.367,0.449,0.816,120,185,8,8,0,9,1,*2D/H,smithwi05\
713,Canaan\'a0Smith-Njigba*,24,PIT,NL,15,37,32,3,4,1,1,0,5,1,0,4,16,0.125,0.216,0.219,0.435,19,7,1,0,0,1,0,9/H7,smithca05\
714,Tyler\'a0Soderstrom*,21,OAK,AL,30,100,92,7,14,1,0,2,5,0,0,7,32,0.152,0.22,0.228,0.448,29,21,6,1,0,0,0,D/32H,soderty01\
715,Nick\'a0Solak,28,TOT,MLB,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/HD,solakni01\
716,Nick\'a0Solak,28,ATL,NL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/H,solakni01\
717,Nick\'a0Solak,28,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/DH,solakni01\
718,Donovan\'a0Solano,35,MIN,AL,119,391,344,38,101,25,1,5,36,0,0,37,87,0.294,0.376,0.416,0.792,118,143,6,9,0,1,1,3H45D,solando01\
719,Jorge\'a0Soler,31,MIA,NL,126,532,466,71,112,22,0,35,71,1,0,58,130,0.24,0.329,0.513,0.842,126,239,18,5,0,3,2,D9/H,solerjo01\
720,Edmundo\'a0Sosa,27,PHI,NL,92,260,241,31,62,12,2,9,26,3,2,7,61,0.257,0.3,0.436,0.735,99,105,7,8,2,1,0,56/H48,sosaed01\
721,Lenyn\'a0Sosa,23,CHW,AL,39,129,125,9,23,4,0,5,12,0,0,1,30,0.184,0.19,0.336,0.526,40,42,3,0,3,0,0,4/5H,sosale01\
722,Juan\'a0Soto*,24,SDP,NL,142,621,497,77,128,27,1,28,85,8,5,117,117,0.258,0.398,0.485,0.883,147,241,15,2,1,4,8,*7/DH,sotoju01\
723,Livan\'a0Soto*,23,LAA,AL,4,12,9,2,2,0,0,0,0,0,0,3,2,0.222,0.417,0.222,0.639,81,2,0,0,0,0,0,/46,sotoli01\
724,George\'a0Springer,33,TOR,AL,134,592,527,77,136,22,1,17,59,19,5,55,105,0.258,0.332,0.4,0.733,102,211,19,5,0,3,1,*9D/H,springe01\
725,Jacob\'a0Stallings,33,MIA,NL,73,229,197,19,39,11,0,3,15,0,0,25,52,0.198,0.295,0.299,0.595,64,59,6,3,2,2,0,2/1DH,stallja01\
726,Ryne\'a0Stanek,31,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,stanery01\
727,Giancarlo\'a0Stanton,33,NYY,AL,88,360,323,40,65,11,0,22,55,0,0,34,101,0.201,0.281,0.44,0.72,93,142,9,2,0,1,3,D9/H7,stantmi03\
728,Spencer\'a0Steer,25,CIN,NL,138,590,514,65,138,31,2,20,77,13,3,61,119,0.268,0.356,0.453,0.809,115,233,8,11,0,4,0,3574/DH,steersp01\
729,Michael\'a0Stefanic,27,LAA,AL,14,33,27,4,4,1,0,0,3,0,0,6,4,0.148,0.303,0.185,0.488,37,5,0,0,0,0,0,/4HD5,stefami01\
730,Tyler\'a0Stephenson,26,CIN,NL,127,462,412,52,105,17,2,11,48,0,1,45,125,0.255,0.333,0.386,0.719,92,159,12,4,0,1,2,2DH/3,stephty01\
731,Andrew\'a0Stevenson*,29,MIN,AL,7,18,17,2,4,0,0,0,1,3,0,1,3,0.235,0.278,0.235,0.513,44,4,0,0,0,0,0,/8H7,stevean01\
732,Cal\'a0Stevenson*,26,SFG,NL,6,12,9,1,0,0,0,0,0,0,0,3,2,0,0.25,0,0.25,-22,0,0,0,0,0,0,/8,steveca01\
733,DJ\'a0Stewart*,29,NYM,NL,39,114,98,13,26,5,0,10,21,1,0,10,35,0.265,0.348,0.622,0.971,162,61,2,3,1,1,0,9/HD7,stewadj01\
734,Trevor\'a0Story,30,BOS,AL,25,99,94,6,16,7,0,1,5,6,2,5,36,0.17,0.212,0.277,0.489,30,26,2,0,0,0,0,6/D4H,storytr01\
